Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
15,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,23,28,6.82,7.85,195,226,2012
16,WELL AT TADAVAI A.P.,ANDHRA PRADESH,27,28,7.21,7.72,663,1121,2012
26,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,26,32,7.19,7.39,1601,1661,2012
27,"WELL AT PEDDAVOORA, A.P.",ANDHRA PRADESH,26,27,7.82,8.8,1420,1668,2012
1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,25,30,6.8,7.11,1454,1575,2012
1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST.",ANDHRA PRADESH,24,31,6.77,7.43,1559,1649,2012
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,22,24,6.95,7.2,1788,2160,2012
1516,B W OF NAVLOK GARDENS NELLORE,ANDHRA PRADESH,29,29,7.46,8.04,696,1082,2012
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,26,27,7.39,8,1240,1662,2012
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,26,28,7.17,8.2,1650,2850,2012
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,18,28,7.05,7.8,1460,2130,2012
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST.",ANDHRA PRADESH,20,26,7.36,8.4,829,1428,2012
1521,"O/W. - NEAR RAMA TEMPLE , WARD No.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,25,27.4,7.5,7.54,3120,4111,2012
1522,O/W. PEDDANUYYI - VIZIANAGARAM,ANDHRA PRADESH,25,36,7.08,7.8,671,1580,2012
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST.",ANDHRA PRADESH,24.2,25,7.6,7.71,234,370,2012
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE-KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,25,26,7.2,7.38,875,1345,2012
1525,"B/W - IDA , NEAR CHAITANYA CHLORIDES ,PASHAMAYLAM , MEDAK",ANDHRA PRADESH,26,26,6.9,6.9,1925,1925,2012
1791,"B/W. - EAST OF SAICHERUVU ,PAIDIPALLY (V),WARANGAL DIST.",ANDHRA PRADESH,28,29,6.76,7.43,2610,4525,2012
1792,"B/W-NEAR CKM COLLEGE , ENUMAMULA (V) ,WARANGAL DIST.",ANDHRA PRADESH,26,28,6.87,7.38,2377,3120,2012
1793,"O/W- BHOOMAIAH NEAR ASHPONDS OF NTPC , KUNDANPALLY (V) , RAMAGUNDAM , KARIMNAGAR, A.P",ANDHRA PRADESH,25,28,7.35,7.93,1664,1975,2012
1794,"B/W- MANAKONDUR (V) , KARIMNAGAR DIST., A.P",ANDHRA PRADESH,24,29,7.66,7.75,910,944,2012
1795,"B/W. - PANCHAYAT OFFICE ,,BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,26,27,7,7.2,6870,7120,2012
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABADDIST. , A.P",ANDHRA PRADESH,28,28,7.18,7.6,1014,2044,2012
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,26,27,8.2,8.3,1050,1100,2012
1533,"*DIGBOI, TINSUKIA DISTT.,ASSAM",ASSAM,23,24,5.9,6.9,234,518,2012
1534,"*KARBIANGLONG DISTT., ASSAM",ASSAM,32,35,4.7,5.8,714,847,2012
1535,"*SIBSAGAR , ASSAM",ASSAM,20,27,6.2,6.7,243,365,2012
1536,"*SIBSAGAR, ASSAM",ASSAM,19,24,6,7.1,140,175,2012
1537,"*(JORHAT, ASSAM",ASSAM,22,30,6.1,7,115,430,2012
1538,"*SILCHAR, ASSAM",ASSAM,12,15,6.5,7.1,711,913,2012
1539,"*BARPETA, ASSAM",ASSAM,24,26,6.5,7.5,111,562,2012
1540,"*BONAIGAON, ASSAM",ASSAM,23,25,6.6,6.9,264,630,2012
1541,"*GUWAHATI, ASSAM",ASSAM,25,25,6.4,6.9,387,476,2012
1542,"*GUWAHATI, ASSAM",ASSAM,25,29,7.1,8.1,412,561,2012
2243,"GROUND WATER FROM LEDO, MARGHERITA",ASSAM,24,25,5.1,6.1,324,532,2012
2244,GROUND WATER FROM NAZIRA,ASSAM,20,25,6.4,6.8,283,286,2012
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),ASSAM,27,32,5.1,6.3,66,104,2012
2246,GROUND WATER FROM SEMENCHAPARI,ASSAM,20,24,6.4,6.8,139,468,2012
2247,GROUND WATER FROM SILAPATHAR,ASSAM,20,24,6.3,6.3,255,292,2012
2248,GROUND WATER FROM LAKHIMPUR TOWN,ASSAM,21,24,5.6,6.3,70,483,2012
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),ASSAM,20,24,6.6,6.8,127,142,2012
2250,GROUND WATER FROM NAGAON (PANIGAON),ASSAM,28,29,6.4,6.8,519,839,2012
2251,GROUND WATER FROM JAGIROAD NR HPC EFFLUENT DISCHARGE POINT,ASSAM,27,28,6.9,7.2,305,313,2012
2252,GROUND WATER NR MSW DUMPING SITE AT GARCHUK-GUWAHATI,ASSAM,25,28,6.6,7.4,262,266,2012
2253,GROUND WATER FROM NALBARI,ASSAM,24,26,6.6,6.8,289,428,2012
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),ASSAM,23,25,5.8,7.1,101,910,2012
2255,"GROUND WATER NEAR BPRL, DHALIGAON",ASSAM,24,27,6,7,357,448,2012
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),ASSAM,24,30,5.9,6.4,78,107,2012
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM,23,31,6.5,6.8,345,422,2012
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),ASSAM,28,28,6.1,6.1,362,362,2012
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),ASSAM,32,36,6.7,7,191,935,2012
2261,GROUND WATER FROM HAFLONG,ASSAM,10,25,5.6,7.6,86,166,2012
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),ASSAM,13,13,6.5,6.5,302,302,2012
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,15,15,6.3,6.3,142,142,2012
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,ASSAM,12,15,6.7,6.8,431,690,2012
1920,KAKCHING (THOUBAL DIST.),MANIPUR,17,17,,,59.4,59.4,2012
1406,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,25.5,28,7.74,7.98,334,360,2012
1730,"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,26,27,7.3,7.76,182,193,2012
1731,"LANKAMURA, TRIPURA",TRIPURA,26,28.5,7.68,7.94,82,94,2012
1732,"A.D.NAGAR, AGARTALA, TRIPURA",TRIPURA,26.5,27.5,7.56,7.74,108,120,2012
1733,"SHIBNAGAR, AGARTALA, TRIPURA",TRIPURA,27,27.5,7.72,7.85,182,196,2012
1734,"GANDHIGRAM, AGARTALA, TRIPURA",TRIPURA,26,27.5,7.42,7.62,162,178,2012
1634,"POLICE BAZAR, SHILLONG, MEGHALAYA",MEGHALAYA,18,18,6,6,175,215,2012
1635,"MAWLAI, SHILLONG,MEGHALAYA",MEGHALAYA,19,19,5,5,220,255,2012
1636,"INDUSTRIAL ESTATE, BYRNIHAT, MEGHALAYA",MEGHALAYA,24,25.5,6,6.5,175,260,2012
1637,"SOHRA CHERRAPUNJEE, MEGHALAYA",MEGHALAYA,18,18,6.5,6.5,75,92,2012
1638,"SHANGPUNG, MEGHALAYA",MEGHALAYA,17,19,5.1,6.5,115,125,2012
1620,"AT RAIPUR REGION, CHHATISSGARH",CHHATTISGARH,25,32,7.25,7.96,480,786,2012
1621,"AT RAIPUR REGION,CHHATISSGARH",CHHATTISGARH,25,31,7.65,7.86,496,943,2012
1622,AT BILASPUR REGION,CHHATTISGARH,31,31,7.5,7.5,789,1789,2012
1617,"OPEN WELL/TUBE WELL INDL AREA MANDIDEEP, RAISEN",MADHYA PRADESH,38,38,8.2,8.2,340,340,2012
1618,"GW SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",MADHYA PRADESH,,,7.4,7.6,821,821,2012
1619,GROUND WATER SAMPLING AT TWO POINTS IN INDL AREA MALANPUR,MADHYA PRADESH,,,7.26,7.3,818,818,2012
2143,"KATHODA, JABALPUR",MADHYA PRADESH,28,28,7.3,7.3,475,475,2012
2144,"MADAI GRAM, JABALPUR",MADHYA PRADESH,32,32,7.8,7.8,918,918,2012
2145,"MEHATWAS, NAGDA",MADHYA PRADESH,28,29,7.76,7.8,1850,2514,2012
2146,"BHAGATPURI VILLAGE, NAGDA",MADHYA PRADESH,27,29,7.2,7.5,1300,1340,2012
2148,"DOSIGAON, RATLAM",MADHYA PRADESH,26,26,7.4,7.8,1860,2210,2012
2149,"CULVERT ON A.B. ROAD, MAKSI",MADHYA PRADESH,25,25,7,8,941,1100,2012
2153,IBRAHIMGANJ NEAR BUS STAND,MADHYA PRADESH,36,36,7.8,7.8,510,510,2012
1555,"AT KALA AMB, H.P",HIMACHAL PRADESH,25,26,7.3,7.6,369,445,2012
1556,"AT PAONTA SAHIB, H.P",HIMACHAL PRADESH,24,26,7.28,7.48,541,649,2012
1557,"AT PARWANOO, H.P",HIMACHAL PRADESH,21,24,7.23,8.34,365,455,2012
1558,"AT BADDI,H.P",HIMACHAL PRADESH,23,26,7.5,8.3,291,709,2012
1559,"AT BAROTIWALA, H.P",HIMACHAL PRADESH,22,27,7.58,7.96,329,408,2012
1560,"AT NALAGARH, H.P",HIMACHAL PRADESH,23,27,7.51,8.27,906,1145,2012
1561,"AT DAMTAL, H.P",HIMACHAL PRADESH,18,25.4,7.52,7.59,680,701,2012
1562,"AT UNA, H.P",HIMACHAL PRADESH,15,25,7.4,7.85,428,630,2012
1872,SHIMLA D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,10.4,14.1,6.62,7.86,232,758,2012
1873,DHARAMSHALA KANGRA D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,18,20,5.85,6.04,269,293,2012
1874,SOLAN-D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,12,24,7.27,8.5,369,580,2012
1875,MANDI-D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,18,18,7.65,7.65,257,257,2012
1876,PARWANOO INDUSTRIAL AREA,HIMACHAL PRADESH,21,25,6.68,8.32,553,763,2012
1877,BADDI INDUSTRIAL AREA,HIMACHAL PRADESH,23,26,7.13,8.23,345,398,2012
1878,BAROTIWALA INDUSTRIAL AREA,HIMACHAL PRADESH,22.5,27,7.4,7.63,360,513,2012
1879,NALAGARH INDUSTRIAL AREA,HIMACHAL PRADESH,22,28,6.6,7.68,888,1314,2012
1880,KALA AMB INDUSTRIAL AREA,HIMACHAL PRADESH,26,26,7.09,7.36,371,485,2012
1881,PAONTA SAHIB INDUSTRIAL AREA,HIMACHAL PRADESH,23,25,7.22,8.04,409,671,2012
1882,MEHATPUR INDUSTRIAL AREA,HIMACHAL PRADESH,15,24,7.68,7.71,573,870,2012
1883,UNA INDUSTRIAL AREA,HIMACHAL PRADESH,14,25,7.46,7.75,516,794,2012
2628,HAND PUMP AT SHAMSHI,HIMACHAL PRADESH,10,16,7.29,8.21,301,568,2012
2629,HAND PUMP AT MANDI TOWN,HIMACHAL PRADESH,20.5,21,7.47,7.78,591,703,2012
2630,HAND PUMP AT HAMIRPUR TOWN,HIMACHAL PRADESH,15,15,7,7.04,7.36,1300,2012
2631,HAND PUMP AT NADAUN TOWN,HIMACHAL PRADESH,13,13,6.65,6.78,527,811,2012
2632,HAND PUMP AT BILASPUR TOWN,HIMACHAL PRADESH,22,23,7.42,7.79,714,987,2012
2633,HAND PUMP AT RECONGPEO,HIMACHAL PRADESH,9,9,8.85,8.85,244,244,2012
2634,HAND PUMP AT SHIMLA,HIMACHAL PRADESH,10,10.6,7.89,7.98,245,250,2012
2635,HAND PUMP AT RAMPUR,HIMACHAL PRADESH,10,10,7.88,8.46,248,502,2012
2636,HAND PUMP AT KANGRA TEMPLE,HIMACHAL PRADESH,20,21,6.32,7.01,559,695,2012
2637,HAND PUMP AT JWALAJI TEMPLE,HIMACHAL PRADESH,21,24,7.21,8.6,133,1350,2012
2638,HAND PUMP AT CHINTPURNI TEMPLE/ TOWN,HIMACHAL PRADESH,20,22,7.62,8.02,416,552,2012
2639,HAND PUMP AT CHAMUNDA DEVI TEMPLE/ TOWN,HIMACHAL PRADESH,21,22,6.78,8.22,80,133,2012
2640,HAND PUMP AT SANSARPUR TERRACE IA,HIMACHAL PRADESH,24.6,26,7.26,7.84,353,424,2012
2641,HAND PUMP AT CHAMBA TOWN,HIMACHAL PRADESH,15,15,7.2,7.48,668,691,2012
2642,HAND PUMP AT DALHOUSIE TOWN,HIMACHAL PRADESH,14,16,6.41,6.85,222,229,2012
2643,HAND PUMP AT SOLAN,HIMACHAL PRADESH,21,24.5,7.09,7.83,393,438,2012
2644,HAND PUMP AT PARWANOO IA,HIMACHAL PRADESH,24,24,7.21,7.21,507,507,2012
2645,HAND PUMP AT NAHAN,HIMACHAL PRADESH,22,25,7.11,7.18,686,1050,2012
2646,HAND PUMP AT KALA AMB,HIMACHAL PRADESH,26,26,6.77,7.31,957,1860,2012
2647,HAND PUMP AT TAHLIWAL IA,HIMACHAL PRADESH,14,26,6.87,7.22,696,1080,2012
2039,SECTOR15,CHANDIGARH,26,26,7,7,869,869,2012
2042,SECTOR 47,CHANDIGARH,26,26,7.4,7.4,741,741,2012
2043,PALSORA VILLAGE,CHANDIGARH,26,26,7.2,7.2,870,870,2012
2044,DHANAS VILLAGE,CHANDIGARH,26,26,6.9,6.9,987,987,2012
2045,DADU MAJRA,CHANDIGARH,26,26,7.3,7.3,673,673,2012
19,"WELL AT ELOOR, KERALA",KERALA,24,28,5.7,7.5,120,245,2012
22,"WELL AT CHUNGAPALLY, KERALA",KERALA,25,25,6.5,6.7,100,110,2012
35,"WELL AT PUNALUR, KERALA",KERALA,26.4,26.8,5,5.8,329,344,2012
1581,"PAPPANAMKODE,THIRUVANANTHAPURAM",KERALA,26.5,26.5,4.5,5.6,52,260,2012
1582,"NEDUMANGAD,THIRUVANANTHAPURAM",KERALA,27,28,6.1,6.3,186,260,2012
1583,"NEDUMANGAD,THIRUVANANTHAPURAM",KERALA,26.8,28.9,4.4,4.6,154,165,2012
1584,"CHERTHALA,ALLEPPY, KERALA",KERALA,26,26.5,6.9,7,128,138,2012
1585,"VYTTILA,ERNAKULAM",KERALA,27,29,7.4,7.5,309,610,2012
1586,EDAYARERNAKULAM DISTT.,KERALA,25,27,6.4,6.5,145,194,2012
1587,KALAMASSERY ERNAKULAM,KERALA,26,27,6.9,7.4,88,1693,2012
1588,PUNKUNNAM TRISSUR DISTT.,KERALA,27,27.5,5.4,6.8,95,103,2012
1589,"MALAPURAM , KERALA",KERALA,28.5,28.5,6,6.2,210,370,2012
1590,"MAVOOR, KOZHIKKODE DISTT. , KERALA",KERALA,25,25,6.8,7.3,118,129,2012
1591,KANNUR (MUNICIPALITY) KANNUR,KERALA,25.5,29.5,5.1,5.3,94,118,2012
1592,"PAYYANNUR, KANNUR DISTT.",KERALA,26,28,6.6,7,209,226,2012
2308,FATHIMAPURAM (CHANGANASSERY),KERALA,25.2,27,6.6,7,188,347,2012
2309,KAROOR (PALA),KERALA,26,27,5.8,7.1,76,100,2012
2310,VAIKOM,KERALA,25.4,26,6.3,6.7,162,237,2012
2311,VADAVATHOOR (KOTTAYAM),KERALA,26,26.4,6.2,6.6,97,217,2012
2313,"SARVODAPURAM,ALAPPUZHA",KERALA,26,26.5,6.5,7,151,195,2012
2314,KUREEPUZHA(KOLLAM),KERALA,27.8,28.8,6,7.1,34,196,2012
2315,K.M.M.L. (KOLLAM),KERALA,27.8,27.9,7.2,7.2,117,1460,2012
2316,CHELLORA TRENCHING GROUND (KANNUR),KERALA,26,27,4.9,5.7,49,59,2012
2317,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY),KERALA,26,28.5,5.9,6.2,212,352,2012
2320,MANJERI,KERALA,28.5,28.5,5.9,6.6,160,187,2012
2321,LALOOR (THRISSUR),KERALA,28,28,4.5,7.2,200,290,2012
2322,OLLUR (THRISSUR),KERALA,28,28,4.5,6,210,250,2012
2323,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),KERALA,25,28,6.2,7,226,260,2012
2324,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),KERALA,27,28,6.8,7.9,240,389,2012
2327,KARUKAMANI,KERALA,23.5,25,6.7,7.8,690,712,2012
1440,WELL AT SOMNATH INDL ESTATE,DAMAN & DIU,28,31,7,7.4,771,1660,2012
2448,"VILLAGE BHIMPORE,DAMAN",DAMAN & DIU,29,30,7.2,7.5,590,931,2012
2448,"VILLAGE BHIMPORE,DAMAN",DAMAN & DIU,30.5,30.5,7,7.1,771,2218,2012
2449,"VILLAGE RINGANWADA,DAMAN",DAMAN & DIU,30,30,7,7.1,1500,1994,2012
2450,"VILLAGE DUNETHA,DAMAN",DAMAN & DIU,29,31,7.1,7.7,521,594,2012
2451,"VILLAGE DABHEL,DAMAN",DAMAN & DIU,30,30.5,7.3,7.5,754,1542,2012
2452,"VILLAGE KACHIGAM,DAMAN",DAMAN & DIU,29.5,29.5,6.9,7,1942,2272,2012
2453,"VILLAGE KHANVEL,DADRA",DADRA & NAGAR HAVELI,30,30.5,6.7,7.3,385,594,2012
2454,"VILLAGE ATHAL,DADRA",DADRA & NAGAR HAVELI,30,31,7.1,7.5,482,657,2012
2455,"VILLAGE MASAT,DADRA",DADRA & NAGAR HAVELI,30,31,6.9,7.6,1581,1995,2012
2456,"VILLAGE PIPERIA,DADRA",DADRA & NAGAR HAVELI,29.5,30,6.9,7.4,1035,1542,2012
2457,"VILLAGE GALONDA,DADRA",DADRA & NAGAR HAVELI,31,31,7.2,7.8,1165,1676,2012
2458,"VILLAGE,DADRA",DADRA & NAGAR HAVELI,29,31,7.3,7.7,2199,2693,2012
32,"WELL AT MUSIRI, TAMIL NADU",TAMIL NADU,26,29,7.43,7.7,1373,1418,2012
1397,WELL AT MUTHIALPET AREA(I),PONDICHERRY,30,31,6.59,6.65,1914,4920,2012
1398,"WELL AT THENGAITHITTU AREA,(II)",PONDICHERRY,33,33,6.33,6.53,1094,1144,2012
1453,WELL AT MUTHARAPLATYAM (PWD),PONDICHERRY,31,32,6.49,6.52,558,627,2012
1454,"WELL AT KALAPET,PONDI. UNIVER. ADMN. BLOCK",PONDICHERRY,30,31,6.02,6.27,184.8,192.1,2012
1687,"NEHRU STATUE, PONDICHERRY",PONDICHERRY,30,30,7.18,7.37,1015,1101,2012
1688,"KATTERIKUPPAM, PODICHERRY",PONDICHERRY,30,30,6.94,7.16,539,643,2012
1689,"CHUNMBAR RIVER, PONDICHERRY",PONDICHERRY,28,30,7.9,8.9,675,718,2012
2009,KURUMBAPET,PONDICHERRY,32,33,6.32,6.38,368,484,2012
2010,METTUPALAYAM,PONDICHERRY,28,32,5.86,6.05,515,734,2012
2011,URUVAIYAR,PONDICHERRY,32,33,6.97,7.18,2.5,2120,2012
2012,KARUVADIKUPPAM,PONDICHERRY,31,31,5.95,5.95,280.9,280.9,2012
2013,"T.R.PATTINAM, KARAIKAL",PONDICHERRY,25.5,29.5,8.1,8.91,1628,1740,2012
2014,"VADAMATTAM, KARAIKAL",PONDICHERRY,26,30,8.12,8.52,1348,1430,2012
2446,PALLUR,PONDICHERRY,28,28,6.78,6.78,280,280,2012
2447,PANTHAKKAL,PONDICHERRY,28,28,7.03,7.03,142.7,142.7,2012
2824,"DUG WELL AT NAREGAON.VILLAGE- NAREGAON, TALUKA- AURANGABAD, DISTRICT- AURANGABAD.",MAHARASHTRA,32,32,8.1,8.1,1077,1077,2012
2825,"BORE WELL AT WAHEGAON, NEAR ZILLA PARISHET SCHOOL. VILLAGE- WAHEGAON, TALUKA- PAITHAN,DISTRICT- AURANGABAD.",MAHARASHTRA,24,32,8.3,8.8,2557,5212,2012
2829,"BORE WELL AT MIDC SHIROLI NEARM/S PRATIBHA ENTERPRISES. VILLAGE- SHIROLI, TALUKA- HATKANANGALE,DISTRICT- KOLHAPUR.",MAHARASHTRA,23,23,8.6,8.67,821.4,824.6,2012
2830,"BORE WELL AT MIDC GOKUL-SHIRGAON. VILLAGE- GOKUL-SHIRGAON, TALUKA- KARVIR, DISTRICT- KOLHAPUR.",MAHARASHTRA,23,23,8.1,8.44,1780,1875,2012
2831,"DUG WELL AT SAKHARALI, NEAR MIDC ISLAMPUR NEAR KRISHNA MILK INDUSTRY. VILLAGE- SAKHARALI,TALUKA- WALWA,DISTRICT- SANGLI.",MAHARASHTRA,24,24,7.71,8.11,3207,4431,2012
2832,"DUG WELL NO.1 AT BRAHMANWADI-ANJANWEL,OWNED BY SHRI. VAIDYA. VILLAGE- ANJANWEL,TALUKA- GUHAGAR, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,26,7.26,7.48,280.2,435,2012
2833,"DUG WELL NO.-1 AT GROUP GRAM PANCHAYAT AT ARKETWADI, NEAR MASJID VILLAGE- ARKETWADI,TALUKA- KHED, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,26,7.52,7.86,615.4,2751,2012
2834,"DUG WELL NO.2 AT ARKETWADI.VILLAGE- ARKETWADI, TALUKA- KHED, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,30,7.54,8.29,528.5,665.5,2012
2835,"DUG WELL NO. 2, OWNED BYGROUP GRAM PANCHAYAT, BRAHMANWADI- ANJANWEL. VILLAGE- ANJANWEL, TALUKA- GUHAGAR, DISTRICT- RATNAGIRI.",MAHARASHTRA,26,27,7.69,7.78,243.3,342,2012
1984,INDL. ESTATE TARAPUR,MAHARASHTRA,27,27,7.8,7.8,1210,1210,2012
1985,MIRA-BHAYANDER,MAHARASHTRA,26,26,7.9,8.3,1292,2916,2012
1986,DAHANU,MAHARASHTRA,27,27,7.4,7.5,647.8,750.2,2012
1987,VASAI,MAHARASHTRA,26,26,7.6,7.6,986.8,1101,2012
1988,PALGHAR,MAHARASHTRA,27,27,7.9,8.1,577.5,588.2,2012
1989,"MSW SITE, TALOJA, RAIGAD",MAHARASHTRA,28,28,8.2,8.2,848.9,848.9,2012
1990,"BMW SITE, BURUDGAON, AHMEDNAGAR",MAHARASHTRA,,,7.29,7.73,938,1183,2012
1991,"MSW SITE, PATHARDI, NASIK",MAHARASHTRA,25,26,7.44,7.75,700,760,2012
1992,"MSW SITE, PIMPRI-CHINCHWAD, PUNE",MAHARASHTRA,27,27,7.6,7.88,777.2,951.9,2012
1993,"PHANDARPUR, GANGAPUR, AURANGABAD",MAHARASHTRA,28,32,7.4,8.4,1140,1860,2012
1994,"TPS-DURGAPUR, CHANDRAPUR",MAHARASHTRA,20,22,7.5,7.65,636,1530,2012
1995,"KHAPERKHEDA, NAGPUR",MAHARASHTRA,20,22,7.96,8.5,934,1136,2012
1996,"KORADI, NAGPUR",MAHARASHTRA,20,22,7.9,8.2,1480,1820,2012
1997,"RAIPUR, NAGPUR",MAHARASHTRA,20,20,7.86,7.9,1512,1849,2012
1998,"BHAHMNI, KALMESHWAR, NAGPUR",MAHARASHTRA,22,24,8.06,8.5,984,1420,2012
1999,SANGERA GONDIA,MAHARASHTRA,23,24,7.69,8.6,468,492,2012
2000,"BHANDEWARI, NAGPUR",MAHARASHTRA,20,22,8.15,8.6,1010,1360,2012
2001,"SUKALI, AMRAVATI",MAHARASHTRA,20,22,7.1,8.08,492,492,2012
2002,"AKOT, AKOLA",MAHARASHTRA,20,25,7.82,8.03,512,1032,2012
2003,"SAWARGAON, YAVATMAL",MAHARASHTRA,18,20,7.4,7.5,426,870,2012
2004,"PARVATI INDL. ESTATE, SHIROL",MAHARASHTRA,23,23,7.52,8.51,1440,1573,2012
2005,"KHANJIRENAGAR, ICHALKARANJI",MAHARASHTRA,23,23,8.52,8.54,1540,1580,2012
2006,"MIDC, SHINOLI, CHENDGAD",MAHARASHTRA,24,24,7.58,8.57,1440,1536,2012
2007,"SAVALI, SANGLI",MAHARASHTRA,24,24,7.22,8.29,2906,5904,2012
2008,"RASULWADI-SAMBARWADI, SANGLI",MAHARASHTRA,23,24,7.85,8.22,3934,4677,2012
2200,"BORE WELL AT KATPUR, NEAR Z.P SCHOOL.",MAHARASHTRA,24,32,8.3,8.5,3222,6717,2012
2201,DUG WELL AT RANJANGAON.,MAHARASHTRA,26,32,7.1,8.1,2111,2180,2012
2202,"DUG WELL AT GHANE KUNT, NEAR AWASTHI, OWNED BY SHRI RAJENDRA AMRE",MAHARASHTRA,25,26,7.3,8.47,357,614.3,2012
2203,HAND PUMP IN THE PREMISES OF ZILLA PARISHAD PRIMARY SCHOOL,MAHARASHTRA,,,7.84,8.18,616,1010,2012
2204,"DUG WELL AT GUNJALWADI,SAGAMNER NEAR PRIMARY HEALTH CARE CENTER.",MAHARASHTRA,,,7.38,7.64,1170,1983,2012
2816,"DUG WELLOFMR. SAMPAT WALUNJ, NEAR M/S MAHAJEET CLAYTON. VILLAGE- SHINDE VILLAGE,TALUKA- NASHIK, DISTRICT- NASHIK.",MAHARASHTRA,25,26,7.57,7.85,843,1100,2012
2817,"BORE WELLAT CHITALI NR WAGH VASTHI. CHITALI,AHMADNAGAR.",MAHARASHTRA,,,7.4,7.4,808,808,2012
2818,"BORE WELL ATM/S SPECTRON ETHERS, RASEGAON NEAR SIDDESHWAR MAHADEV MANDIR.VILLAGE- RASEGAON, TALUKA- DINDORI, DISTRICT- NASHIK.",MAHARASHTRA,25,27,7.5,7.8,913,1000,2012
2819,"DUG WELL OWNED BY SHRI DESHMUKH. VILLAGE- MALEGAON, TALUKA- BARAMATI, DISTRICT- PUNE.",MAHARASHTRA,26,27,7.89,8,4654,6865,2012
2820,"DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR VILLAGE- SANASWADI, TALUKA- SHIRUR, DISTRICT- PUNE.",MAHARASHTRA,30,30,6.89,7.9,910.4,1357,2012
2821,"BORE WELL AT BALE RAILWAY STATION PREMISES OWNED BYSHRI. DIGAMBAR JOSHI. VILLAGE- DAHEGAON,TALUKA- NORTH SOLAPUR, DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.82,7.82,2905,2905,2012
2822,"BORE WELL NEARCHINCHOLI. VILLAGE- CHINCHOLI, TALUKA- MOHOL, DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.49,7.49,1175,1175,2012
2823,"BORE WELL AT SHETE VASTI, NEAR OLD TULJAPUR ROAD. VILLAGE- TULJAPUR NAKA, TALUKA- SOLAPUR,DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.88,7.88,1572,1572,2012
2826,"DUG WELL NEAR RAILWAY STATION, COTTON MARKET. VILLAGE- WARDHA",MAHARASHTRA,,,8.05,8.88,559,886,2012
2827,BORE WELL NEAR RAILWAY CROSSING AT DONGRI BUZURG.,MAHARASHTRA,20,24,7.5,7.92,496,840,2012
